中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名
蒿本,Haoben,Radix et Rhizoma Ligustici Chinesis,辛温解表药,Apple oil,MOL010259,10259,1923,
藁本,Gaoben,Ligustici Rhizoma Et Radix,辛温解表药,Apple oil,MOL010259,10259,1923,
麻黄,Mahuang,Ephedra Herba,辛温解表药,Apple oil,MOL010259,10259,1923,
没药,Moyao,Myrrha,活血祛瘀药,myrrhanol C,MOL001026,1026,2005,590
沙棘,Shaji,Hippophae Fructus,化痰药,cis-linalol pyranoxide,MOL010265,10265,762,
花椒,Huajiao,Zanthoxyli Pericarpium,温里药,cis-linalol pyranoxide,MOL010265,10265,762,
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,linalool oxide B (cis-THF),MOL010266,10266,415,
沙棘,Shaji,Hippophae Fructus,化痰药,linalool oxide B (cis-THF),MOL010266,10266,415,
细辛,Xixin,Asari Radix Et Rhizoma,辛温解表药,linalool oxide B (cis-THF),MOL010266,10266,415,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,linalool oxide B (cis-THF),MOL010266,10266,415,
薄荷,Bohe,Menthae Herba,辛凉解表药,linalool oxide B (cis-THF),MOL010266,10266,415,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,linalool oxide B (cis-THF),MOL010266,10266,415,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,linalool oxide B (cis-THF),MOL010266,10266,415,
沙棘,Shaji,Hippophae Fructus,化痰药,D 3 (ester),MOL010268,10268,2411,
沙棘,Shaji,Hippophae Fructus,化痰药,PROPYL ISOVALERATE,MOL010272,10272,3817,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,PROPYL ISOVALERATE,MOL010272,10272,3817,
沙棘,Shaji,Hippophae Fructus,化痰药,"(2E,4E,6E,8Z)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraen-1-ol",MOL010276,10276,1325,
沙棘,Shaji,Hippophae Fructus,化痰药,"2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-6-CHROMANOL",MOL010278,10278,4162,
沙棘,Shaji,Hippophae Fructus,化痰药,vitamin E-beta,MOL010280,10280,4058,
沙棘,Shaji,Hippophae Fructus,化痰药,vitamin E-delta,MOL010281,10281,4083,
沙棘,Shaji,Hippophae Fructus,化痰药,vitamin E-gamma,MOL010282,10282,4002,
桑椹,Sangsheng,Mori Fructus,补阴药,3-Allylbenzothiazoliumbromide,MOL010289,10289,1599,
桑椹,Sangsheng,Mori Fructus,补阴药,q-Lure,MOL010295,10295,1556,
桑椹,Sangsheng,Mori Fructus,补阴药,"4-(2,6,6-Trimethyl-1-cyclohexenl-yl)-3-buten-2-ol",MOL010296,10296,1726,
土贝母,Tubeimu,Bolbostemae Paniculati Bulbus,化痰药,methyl 4-[2-formyl-5-(methoxymethyl)pyrrol-1-yl]butanoate,MOL010312,10312,954,
土贝母,Tubeimu,Bolbostemae Paniculati Bulbus,化痰药,4-(2-formyl-5-carbooxymethyl-pyrrole-1-yl)-3-phenyl-methyl propanoate,MOL010313,10313,1505,
无患子,Wuhuanzi,Sapindi Mukorossi Semen,化痰药,mukurozioside Ia_qt,MOL010345,10345,3794,
无患子皮,Wuhuanzipi,Sapindi Mukorossiperic Arpium,化痰药,mukurozioside Ia_qt,MOL010345,10345,3794,
无患子,Wuhuanzi,Sapindi Mukorossi Semen,化痰药,Mukurozioside I_qt,MOL010347,10347,3226,
无患子皮,Wuhuanzipi,Sapindi Mukorossiperic Arpium,化痰药,Mukurozioside I_qt,MOL010347,10347,3226,
无患子皮,Wuhuanzipi,Sapindi Mukorossiperic Arpium,化痰药,Mukurozioside Ⅰa_qt,MOL010349,10349,3885,
无患子皮,Wuhuanzipi,Sapindi Mukorossiperic Arpium,化痰药,PyishiauosideⅠb_qt,MOL010358,10358,2720,
伊贝母,Yibeimu,Fritillariae Pallidiflorae Bulbus,化痰药,Yinyanghuo A,MOL010368,10368,3284,
伊贝母,Yibeimu,Fritillariae Pallidiflorae Bulbus,化痰药,yibeinoside A_qt,MOL010374,10374,3985,1163
伊贝母,Yibeimu,Fritillariae Pallidiflorae Bulbus,化痰药,Yibeinoside B_qt,MOL010376,10376,4152,
玉竹,Yuzhu,Polygonati Odorati Rhizoma,补阴药,7'-n-butanol-N-trans-feruloyloctopamine,MOL010379,10379,3061,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,()-alpha-Funebrene,MOL010380,10380,763,
玉竹,Yuzhu,Polygonati Odorati Rhizoma,补阴药,()-alpha-Funebrene,MOL010380,10380,763,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,()-alpha-Funebrene,MOL010380,10380,763,
蔓荆子,Manjingzi,Viticis Fructus,辛凉解表药,()-alpha-Funebrene,MOL010380,10380,763,
玉竹,Yuzhu,Polygonati Odorati Rhizoma,补阴药,"4',5,7-trihydroxy-6-methyl-8-methoxy-homoisoflavanone",MOL010395,10395,2475,787
玉竹,Yuzhu,Polygonati Odorati Rhizoma,补阴药,"4',5,7-trihydroxy-6,8-dimethyl-homoisoflavanone",MOL010396,10396,2689,874
乌梅,Wumei,Mume Fructus,收涩药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
半枝莲,Banzhilian,Scutellariae Barbatae Herba,清热解毒药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
广枣,Guangzao,Choerospondiatis Fructus,活血祛瘀药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
橘红,Juhong,Citri Exocarpium Rubrum,理气药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
水红花子,Shuihonghuazi,Polygoni Orientalis Fructus,活血祛瘀药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
没药,Moyao,Myrrha,活血祛瘀药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
灯盏细辛,Dengzhanxixin,Erigeron Breviscapus,辛温解表药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
甘松,Gansong,Nardostachyos Radix Et Rhizoma,理气药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
艾叶,Aiye,Folium Artemisiae Argyi,温经止血药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
芫花,Yuanhua,Flos Genkwa,通水药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
苦参,Kushen,Sophorae Flavescentis Radix,清热燥湿药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
蒲黄,Puhuang,Pollen Typhae,化瘀止血药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
贯众,Guanzhong,Fortunes Bossfern Rhizome,清热解毒药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
降香,Jiangxiang,Dalbergiae Odoriferae Lignum,理气药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
马钱子,Maqianzi,Strychni Semen,祛风湿散寒药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
骨碎补,Gusuibu,Drynariae Rhizoma,补阳药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
鬼箭羽,Guijianyu,Euonymi Alati Ramulus,活血祛瘀药,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",MOL001040,1040,2250,701
玉竹,Yuzhu,Polygonati Odorati Rhizoma,补阴药,"4'-methoxy-5,7-dihydroxy-6,8-dimethyl-homoisflavanone",MOL010412,10412,2857,926
玉竹,Yuzhu,Polygonati Odorati Rhizoma,补阴药,4-methyl-2-hexanone,MOL010413,10413,3961,
楮实子,Chushiziu,Broussonetiae Fructus,补阴药,"8,11-OCTADECADIENOIC ACID",MOL010417,10417,3493,
楮实子,Chushiziu,Broussonetiae Fructus,补阴药,isoterihanine,MOL010421,10421,2223,686
木鳖子,Mubiezi,Momordicae Semen,拔毒化腐生肌药,"(10E,13E)-octadeca-10,13-dienoic acid",MOL010424,10424,3702,
楮实子,Chushiziu,Broussonetiae Fructus,补阴药,"(10E,13E)-octadeca-10,13-dienoic acid",MOL010424,10424,3702,
楮实子,Chushiziu,Broussonetiae Fructus,补阴药,oxyavicine,MOL010425,10425,2526,812
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,"18,19-dihydroxy-5alpha,10beta-neo-cleroda-diene-butenylhydroxyoate",MOL010429,10429,3244,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,"(4-allyl-2,6-dimethoxy-phenyl) 3-methylbutanoate",MOL010430,10430,1212,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,4-allyl-2-meth-oxyphenyl 2-methylbutanoate,MOL010431,10431,500,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,"5,6-dihydroxy-2,7,3',4'-tetramethoxyflavonol",MOL010434,10434,539,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,"5,6-dihydroxy-3,7-dimethoxy-2-(4-methoxyphenyl)chromone",MOL010435,10435,2031,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,Lachnophyllol acetate,MOL010467,10467,3706,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,Lacinilene-C-7-methyl ether,MOL010468,10468,233,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,Oxyayanin B,MOL010469,10469,2502,
没药,Moyao,Myrrha,活血祛瘀药,(+)-Epiexcelsin,MOL001047,1047,2587,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,shiromodiol diacetate,MOL010480,10480,1799,
槟榔,Binglang,Arecae Semen,驱虫药,WLN: GR DSWR DG,MOL010481,10481,2648,
槟榔,Binglang,Arecae Semen,驱虫药,WLN: 6OVR BVO6,MOL010482,10482,3642,1102
槟榔,Binglang,Arecae Semen,驱虫药,EPA,MOL010485,10485,2781,904
槟榔,Binglang,Arecae Semen,驱虫药,Guvacoline,MOL010487,10487,4137,
槟榔,Binglang,Arecae Semen,驱虫药,10Z-heptadecenoic acid,MOL010488,10488,3620,
槟榔,Binglang,Arecae Semen,驱虫药,Resivit,MOL010489,10489,2330,734
花生衣,Huashengyi,Peanut Skin,收敛止血药,Resivit,MOL010489,10489,2330,734
香附,Xiangfu,Cyperi Rhizoma,理气药,Resivit,MOL010489,10489,2330,734
麻黄,Mahuang,Ephedra Herba,辛温解表药,Resivit,MOL010489,10489,2330,734
乌药,Wuyao,Linderae Radix,理气药,DPMC,MOL010494,10494,246,
沉香,Chenxiang,Linderae Radix,理气药,DPMC,MOL010494,10494,246,
乌药,Wuyao,Linderae Radix,理气药,"6,7-dimethoxy-2-(2-phenylethyl)chromone",MOL010495,10495,145,63
沉香,Chenxiang,Linderae Radix,理气药,"6,7-dimethoxy-2-(2-phenylethyl)chromone",MOL010495,10495,145,63
乌药,Wuyao,Linderae Radix,理气药,DMPEC,MOL010496,10496,197,92
沉香,Chenxiang,Linderae Radix,理气药,DMPEC,MOL010496,10496,197,92
乌药,Wuyao,Linderae Radix,理气药,6-Hmpec,MOL010498,10498,879,
沉香,Chenxiang,Linderae Radix,理气药,6-Hmpec,MOL010498,10498,879,
丹参,Danshen,Radix Salviae,活血祛瘀药,protocatechuic acid,MOL000105,105,3035,
京大戟,Jingdaji,Radix Euphorbiae Pekinensis,通水药,protocatechuic acid,MOL000105,105,3035,
人参叶,Renshenye,Ginseng Folium,补气药,protocatechuic acid,MOL000105,105,3035,
仙桃草,Xiantaocao,Veronicae Peregrinae Herba,活血祛瘀药,protocatechuic acid,MOL000105,105,3035,
佛手,Foshou,Citri Sarcodactylis Fructus,理气药,protocatechuic acid,MOL000105,105,3035,
凤仙透骨草,Fengxiantougucao,Impatiens Balsamina,祛风湿散寒药,protocatechuic acid,MOL000105,105,3035,
北五味子,Beiwuweizi,Schisandrae Chinensis Fructus,收涩药,protocatechuic acid,MOL000105,105,3035,
半夏,Banxia,Arum Ternatum Thunb.,化痰药,protocatechuic acid,MOL000105,105,3035,
半枝莲,Banzhilian,Scutellariae Barbatae Herba,清热解毒药,protocatechuic acid,MOL000105,105,3035,
四季青,Sijiqing,Ilicis Purpureae Folium,清热解毒药,protocatechuic acid,MOL000105,105,3035,
地耳草,Diercao,Hyperici Japonici Herber,利水渗湿药,protocatechuic acid,MOL000105,105,3035,
