中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.836576,0.732,0.784288,CHRM1,P11229
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.870632,0.706,0.788316,CHRM2,P08172
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.836576,0.732,0.784288,CHRM1,P11229
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.870632,0.706,0.788316,CHRM2,P08172
罗汉果,Luohanguo,Momordicae Fructus,化痰药,Myristicin aldehyde,MOL010099,10099,2734,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.862392,0.818,0.840196,PTGS2,P35354
罗汉果,Luohanguo,Momordicae Fructus,化痰药,BA (VAN),MOL010114,10114,3879,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.852545,0.714,0.7832725,CHRM1,P11229
杜仲叶,Duzhongye,Eucommiae Folium,拔毒化腐生肌药,Damasione,MOL010115,10115,288,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.905397,0.718,0.8116985,CHRM1,P11229
杜仲叶,Duzhongye,Eucommiae Folium,拔毒化腐生肌药,Damasione,MOL010115,10115,288,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.903858,0.714,0.808929,CHRM2,P08172
杜仲叶,Duzhongye,Eucommiae Folium,拔毒化腐生肌药,Damasione,MOL010115,10115,288,,GABRA5,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,0.951253,0.706,0.8286265,GABRA5,P31644
杜仲叶,Duzhongye,Eucommiae Folium,拔毒化腐生肌药,Damasione,MOL010115,10115,288,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.836895,0.766,0.8014475,PTGS2,P35354
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,Damasione,MOL010115,10115,288,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.905397,0.718,0.8116985,CHRM1,P11229
