原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,中药数,TCMSP_MOL_ID数,分子名称数,molecule_ID连接状态,SMILES审计
2412,10268,COC(=O)c1ccccc1C(=O)O,STP02407,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3818,10272,CCCOC(=O)CC(C)C,STP03812,成功（100条，已去重）,100,2.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1326,10276,CC1=C(/C=C\C(C)=C\C=C\C(C)=C\CO)C(C)(C)CCC1,STP01324,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4163,10278,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,STP04156,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4059,10280,Cc1cc(O)c(C)c2c1O[C@@H](C)[C@@H](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C2,STP04052,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4084,10281,Cc1cc(O)cc2c1O[C@@H](C)[C@@H](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C2,STP04077,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4003,10282,Cc1c(O)cc2c(c1C)O[C@@H](C)[C@@H](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C2,STP03996,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1600,10289,C=CC[n+]1csc2ccccc21,STP01597,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1557,10295,CC(=O)CCc1ccc(OC(C)=O)cc1,STP01554,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1727,10296,CC1=C(C=O)C(C)(C)CC[C@H]1/C=C/[C@H](C)O,STP01723,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
955,10312,COCc1ccc(C=O)n1CCCC(=O)OC,STP00954,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1506,10313,COCc1ccc(C=O)n1[C@@H](Cc1ccccc1)C(=O)OC,STP01503,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3795,10345,C/C(=C\O)CC/C=C(\C)CCC[C@@H](C)CO,STP03789,成功（100条，已去重）,100,2.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3227,10347,C/C(=C/CC/C(C)=C/CC/C(C)=C/O)CO,STP03222,成功（100条，已去重）,100,2.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3886,10349,C/C(=C\O)CC/C=C(\C)CCC[C@H](C)CO,STP03880,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2721,10358,C/C(=C\CC/C(C)=C/CC/C(C)=C/CO)CO,STP02716,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3285,10368,C=C(C)[C@H](O)Cc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc2c1OC(C)(C)C=C2,STP03279,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3062,10379,CCCCO[C@H](CNC(=O)/C=C\c1ccc(O)c(OC)c1)c1ccc(O)cc1,STP03057,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
764,10380,CC1=CC[C@]23C[C@H]1C(C)(C)[C@@H]2CC[C@H]3C,STP00763,成功（100条，已去重）,100,4.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
